name,price,url,bed,score
Grandouce Momodani,6589,http://tinyurl.com/y2ofc26s,床型： 3 張雙人床,8.5
Sakuranomiya apartment 3D（櫻花公寓3D）,6881,http://tinyurl.com/y4ovu9l2,2 張雙人床 • 1 張沙發床 • 1 張日式床舖,8.6
Mansion Kawata（川田大廈）,7429,http://tinyurl.com/yxosstmm,2 張沙發床 • 5 張雙人床,7.9
Aoiumi house Korean town,7445,http://tinyurl.com/y2kz9ype,"床型： 2 張雙人床 , 2 張沙發床 和 4 張日式床舖",8.4
Namba_Matsuya_MAR0005B,7755,http://tinyurl.com/y232pt6m,床型： 2 張雙人床 和 3 張沙發床,
Grandouce Namba-Nishi Ⅱ,8541,http://tinyurl.com/yxbjahbl,2 張雙人床 • 1 張沙發床,8.8
M&M House BENTENCHO,8541,http://tinyurl.com/y5dzztmg,2 張單人床 • 3 張雙人床,
EX Noujinbashi Apartment 901,8568,http://tinyurl.com/yxa83kc4,1 張雙人床 • 1張床位 • 2 張沙發床,
Waka 101,8715,http://tinyurl.com/y59edf6r,床型： 2 張雙人床 和 2 張沙發床,
Apartment VR Namba DAR0030B,8863,http://tinyurl.com/yyjyeznd,床型： 2 張沙發床 和 3 張日式床舖,
Terry's Apartment Namba South V #C02F,8863,http://tinyurl.com/y37ovd29,2 張單人床 • 1 張沙發床,
Modern and Traditional Japanese Style House_Namba & Daikokucho,9213,http://tinyurl.com/y2c85r2y,床型： 2 張單人床 和 6 張雙人床,
Grandouce Villa HanazonochoII,9238,http://tinyurl.com/y4b6enfg,5 張雙人床,
Grandouce Juso-Higashi,9412,http://tinyurl.com/y5mwqkb5,床型： 3 張雙人床,8.2
Grandouce Villa Tenjimbashisuji-6chome,9412,http://tinyurl.com/yxcsp2j3,3 張雙人床 • 1 張沙發床,8.3
Shinsaibashi Shimanouchi SMR0003B,9417,http://tinyurl.com/y3sbx7mz,2 張雙人床 • 1 張沙發床 • 1 張日式床舖,7.7
Peace House Suzunami（嶺波和平之家旅館）,9678,http://tinyurl.com/y3qpntlq,3張床位,7.7
Best Residence Kujo,9725,http://tinyurl.com/yxzxh9fu,床型： 2 張單人床 和 1 張沙發床,
HG Cozy Hotel No.35（HG 第 35 號溫馨公寓）,9749,http://tinyurl.com/y25w946v,4 張單人床 • 4 張日式床舖,7.0
Grandouce Nipponbashi-Higashi（日本橋東固蘭德斯公寓）,9831,http://tinyurl.com/y3xtjpsh,床型： 3 張雙人床,8.2
Exsaison House Imamiya 101,9853,http://tinyurl.com/yytlj42d,床型： 3 張雙人床,8.6
Higashimikuni House,9853,http://tinyurl.com/yxzctpqb,2 張雙人床 • 2 張沙發床 • 1 張日式床舖,6.1
Grandouce Shin-Imamiya-Nishi,9857,http://tinyurl.com/y3yvvuyo,床型： 4 張雙人床,8.0
04village Namba（難波04村莊旅舍）,9945,http://tinyurl.com/y56w229y,6 張日式床舖,8.9
Apartment KJ Namba DAR0041B,9971,http://tinyurl.com/yxs89bhg,床型： 2 張雙人床 和 3 張日式床舖,
ETERNITY Tamatsukuri 401,10045,http://tinyurl.com/y4w4tyd6,床型： 2 張雙人床 和 2 張沙發床,
EX Tamatsukuri Apartment801,10045,http://tinyurl.com/y3m3stjh,"床型： 1 張雙人床 , 2 張沙發床 和 5 張日式床舖",7.7
ETERNITY Tamatsukuri 404,10045,http://tinyurl.com/y6tczhgn,床型： 2 張雙人床 和 2 張沙發床,
ETERNITY Tamatsukuri 501,10045,http://tinyurl.com/y32zdrdd,床型： 3張床位 和 2 張沙發床,
Grandouce Villa Shin-Imamiya,10110,http://tinyurl.com/y4bkjzhw,床型： 7 張雙人床 和 1 張日式床舖,
Grandouce Sejour（一流公寓）,10110,http://tinyurl.com/y3an6wrk,2 張單人床 • 2 張雙人床 • 2 張沙發床,6.7
ミフネ島之内G0G,10311,http://tinyurl.com/y6ja3hoa,3 張雙人床,7.9
Kanzakigawa AdeleⅡ,10325,http://tinyurl.com/y65mvxru,2 張雙人床 • 1 張沙發床,
マッセ新町201 心斎橋近く.西大橋 難波エリア,10340,http://tinyurl.com/y5t55jm4,床型： 2 張雙人床 和 1 張沙發床,
Grandouce Imamiyaebisu（格蘭昂斯今宮戎旅館）,10378,http://tinyurl.com/y327qmsy,床型： 2 張雙人床 和 1 張加大雙人床,7.8
Grandouce Shin-Imamiya-Minami,10430,http://tinyurl.com/y3gw3mmn,床型： 5 張雙人床,7.8
HG Cozy Hotel No.20（20號HG舒適公寓）,10562,http://tinyurl.com/y5q8mbls,床型： 4 張單人床 和 4 張日式床舖,6.5
Three Eight Heights 101,10636,http://tinyurl.com/y2zfa552,床型： 2 張雙人床 和 2 張沙發床,
Hostel Kay 101&102（101&102柯恩旅舍）,10702,http://tinyurl.com/y5v2rexa,5 張單人床 • 2 張沙發床 • 1 張日式床舖,8.9
iR-inn223 IKIDANE COZY HOTEL,10754,http://tinyurl.com/y4xl2gsz,床型： 2 張單人床 和 2張床位,7.9 10
Pack Studio Tanaka 301（田中301帕克公寓）,10872,http://tinyurl.com/y42rj4xy,床型： 2 張雙人床 和 1 張沙發床,9.1
Osaka Shitennoji Yuhigaoka Apartment,10990,http://tinyurl.com/y59w3xqe,床型： 4 張單人床 和 2 張日式床舖,
Osaka City Hotel（大阪城市飯店）,11070,http://tinyurl.com/y2bp8k7g,床型： 2 張雙人床 和 2 張沙發床,7.6
Namba_Ebisu_EBR0016B,11079,http://tinyurl.com/y4hzt3rn,2 張雙人床 • 2 張沙發床,
Namba_Matsuya_MAR0003B,11079,http://tinyurl.com/y6l7pc2g,2 張雙人床 • 2 張沙發床 • 1 張日式床舖,7.8
Osaka Ayano Tea House House,11079,http://tinyurl.com/yy4324rg,"床型： 2 張單人床 , 3 張雙人床 和 3 張日式床舖",
Namba_Matsuya_MAR0004B,11079,http://tinyurl.com/y5pdclgt,2 張雙人床 • 3 張沙發床,
starvilla,11167,http://tinyurl.com/yxtvsore,床型： 3 張雙人床 和 2 張沙發床,8.9
HG Cozy Hotel No.14,11167,http://tinyurl.com/y386384p,4 張單人床 • 2 張日式床舖,8.9
Atrium,11342,http://tinyurl.com/yyzxrq98,1 張雙人床 • 3 張沙發床,
Miyado NF 202,11345,http://tinyurl.com/y6mdm6pr,床型： 6 張單人床,
"Osaka Castle Park , Cozy Apartment ZD",11345,http://tinyurl.com/y5d9o3t6,1 張雙人床 • 1 張沙發床 • 3 張日式床舖,7.2
Urban Stay Shin-Osaka North 205,11463,http://tinyurl.com/y3ompxye,3 張雙人床,8.0
Walk Around Base Nippombashi,11470,http://tinyurl.com/y5ggrger,床型： 3張床位,8.8
ミフネ島之内AA0G,11488,http://tinyurl.com/y34qmq9v,床型： 2 張雙人床 和 1 張沙發床,
ミフネ島之内AAAA,11488,http://tinyurl.com/y4tzwuv9,床型： 2 張雙人床 和 1 張沙發床,
